num_qubits,depth,depth_multiplier,entanglement,noise_type,error_rate,observable_name,x_noisy,x_ideal
4,10,1,full,amplitude_damping,0.01,ZZZZ,-0.043098341666450525,-0.05038506332398752
4,10,1,full,amplitude_damping,0.02,ZZZZ,0.1449435566548674,0.1449435566548678
4,10,1,full,amplitude_damping,0.05,ZZZZ,0.002676078670370917,0.005664896355613121
4,10,1,circular,depolarizing,0.001,ZZZZ,0.024842762086037258,0.02685711159157922
4,10,1,circular,depolarizing,0.005,ZZZZ,-0.02208033133410956,-0.16760125582912833
4,10,1,circular,depolarizing,0.01,ZZZZ,0.005041239007189377,0.018691824468781558
4,10,1,circular,depolarizing,0.02,ZZZZ,-2.0326026899115945e-05,0.0774266254178833
4,10,1,circular,depolarizing,0.05,ZZZZ,7.409150950404841e-07,0.04836073187619961
4,10,1,circular,amplitude_damping,0.001,ZZZZ,0.1379997312307716,0.14369866486972535
4,10,1,circular,amplitude_damping,0.005,ZZZZ,-0.24685229928761895,-0.3039124488746731
4,10,1,circular,amplitude_damping,0.01,ZZZZ,-0.41388810125316744,-0.4974765573297853
4,10,1,circular,amplitude_damping,0.02,ZZZZ,-0.010841732320272301,-0.00977046605590065
4,10,1,circular,amplitude_damping,0.05,ZZZZ,-0.2004867972633074,-0.20048679726330754
6,2,1,linear,depolarizing,0.001,ZZZZZZ,-0.4063088546383136,-0.44669202499154115
6,2,1,linear,depolarizing,0.005,ZZZZZZ,-0.02761542044454419,-0.08863610933480673
6,2,1,linear,depolarizing,0.01,ZZZZZZ,0.08790345505237951,0.21220975361426656
6,2,1,linear,depolarizing,0.02,ZZZZZZ,-0.0002205698986500245,-0.02527249780882762
6,2,1,linear,depolarizing,0.05,ZZZZZZ,-0.06257804959420404,-0.7184430027446566
6,2,1,linear,amplitude_damping,0.001,ZZZZZZ,0.0011472274118137131,0.0011812610349921544
6,2,1,linear,amplitude_damping,0.005,ZZZZZZ,-0.0009175125471693121,0.00020293394679866633
6,2,1,linear,amplitude_damping,0.01,ZZZZZZ,0.0023404366060910536,-0.004647977393727992
6,2,1,linear,amplitude_damping,0.02,ZZZZZZ,0.0016695377177641637,0.0017547157589607376
6,2,1,linear,amplitude_damping,0.05,ZZZZZZ,-0.16300786931899955,-0.26386732736950747
6,2,1,full,depolarizing,0.001,ZZZZZZ,-0.008785271840133176,-0.01100457536580005
6,2,1,full,depolarizing,0.005,ZZZZZZ,-0.02347402485279285,-0.09778086858485913
6,2,1,full,depolarizing,0.01,ZZZZZZ,0.002754278003918793,0.06771858697637509
6,2,1,full,depolarizing,0.02,ZZZZZZ,0.018441713098697195,0.0992692860077801
6,2,1,full,depolarizing,0.05,ZZZZZZ,0.016855513767689234,0.07797141702586884
6,2,1,full,amplitude_damping,0.001,ZZZZZZ,0.03600514323403727,0.03600514323403731
6,2,1,full,amplitude_damping,0.005,ZZZZZZ,0.009374503985637085,0.01069010602779104
6,2,1,full,amplitude_damping,0.01,ZZZZZZ,0.002954084759004931,0.002643512841640855
6,2,1,full,amplitude_damping,0.02,ZZZZZZ,-6.6370390592214445e-06,1.5964459933379832e-05
6,2,1,full,amplitude_damping,0.05,ZZZZZZ,-0.03134419611698405,-0.03961671440597028
6,2,1,circular,depolarizing,0.001,ZZZZZZ,-0.04549288939925748,-0.05696109922443503
6,2,1,circular,depolarizing,0.005,ZZZZZZ,0.006961766427182395,0.02122935912851332
6,2,1,circular,depolarizing,0.01,ZZZZZZ,-0.030584328624458063,-0.12539173403808376
6,2,1,circular,depolarizing,0.02,ZZZZZZ,-0.0069999329066485535,-0.026737231280244914
6,2,1,circular,depolarizing,0.05,ZZZZZZ,-0.0010354312731209736,-0.004778337292713072
6,2,1,circular,amplitude_damping,0.001,ZZZZZZ,-0.06822810228955864,-0.06822810228955872
6,2,1,circular,amplitude_damping,0.005,ZZZZZZ,0.2061548048398152,0.2061548048398151
6,2,1,circular,amplitude_damping,0.01,ZZZZZZ,0.7204453897954748,0.729380922890703
6,2,1,circular,amplitude_damping,0.02,ZZZZZZ,0.08905654826183043,0.10359917227928597
6,2,1,circular,amplitude_damping,0.05,ZZZZZZ,-0.005620908359824546,-0.013839562021692273
